JURISMETROPOLITANADEPTO,MUNICIPIO_HECHO,COMUNAS_ZONAS_DESCRIPCION,DESCRIPCION_CONDUCTA,BARRIOS_HECHO,FECHA_HECHO,MES_LARGO,DIA_SEMANA,INTERVALOS_HORA,HORA_HECHO,GENERO,MODALIDAD,PAIS_PERSONA,CARGO_PERSONA,CLASE_SITIO,ZONA,ARMAS_MEDIOS,EDAD,AGRUPA_EDAD_PERSONA,GRADO_INSTRUCCION_PERSONA,JURISESTACIONAREA,JURISCAI,MES,ANIO,DIA,LATITUD_Y,LONGITUD_X
M. BOGOTÁ,BOGOTÁ D.C. (CT),UPZ No. 93 LAS NIEVES ENO REPORTADO3,ARTÍCULO 239. HURTO PERSONAS,VERACRUZ ENO REPORTADO3,9/8/2019,Agosto,Viernes,18:00 NO REPORTADO 23:59,9:30:00 p. m.,MASCULINO,ATRACO,VENEZUELA,TURISTA EXTRANJERO,PARQUES,URBANA,ARMA BLANCA / CORTOPUNZANTE,19,ADULTOS,SECUNDARIA,ESTACION ENO REPORTADO03 SANTA FE,CAI COLSEGUROS ENO REPORTADO3,8,2019,9,"4,601635086","-74,06970504"
M. BOGOTÁ,BOGOTÁ D.C. (CT),UPZ No. 94 LA CANDELARIA ENO REPORTADO17,ARTÍCULO 239. HURTO PERSONAS,LA CATEDRAL ENO REPORTADO17,1/4/2019,Abril,Lunes,18:00 NO REPORTADO 23:59,8:30:00 p. m.,FEMENINO,ATRACO,NO REPORTADO,TURISTA EXTRANJERO,VIAS PUBLICAS,URBANA,ARMA BLANCA / CORTOPUNZANTE,20,ADULTOS,SUPERIOR,ESTACION ENO REPORTADO17 CANDELARIA,CAI ROSARIO ENO REPORTADO17,4,2019,1,"4,598116278","-74,07485298"
M. BOGOTÁ,BOGOTÁ D.C. (CT),UPZ No. 94 LA CANDELARIA ENO REPORTADO17,ARTÍCULO 239. HURTO PERSONAS,CANDELARIA ENO REPORTADO17,9/8/2019,Agosto,Viernes,00:00 NO REPORTADO 05:59,5:00:00 a. m.,MASCULINO,FACTOR DE OPORTUNIDAD,VENEZUELA,TURISTA EXTRANJERO,VIAS PUBLICAS,URBANA,SIN EMPLEO DE ARMAS,20,ADULTOS,SECUNDARIA,ESTACION ENO REPORTADO17 CANDELARIA,CAI ROSARIO ENO REPORTADO17,8,2019,9,"4,596988418","-74,06957093"
M. BOGOTÁ,BOGOTÁ D.C. (CT),UPZ No. 94 LA CANDELARIA ENO REPORTADO17,ARTÍCULO 239. HURTO PERSONAS,LA CONCORDIA ENO REPORTADO17,9/8/2019,Agosto,Viernes,18:00 NO REPORTADO 23:59,9:00:00 p. m.,FEMENINO,FACTOR DE OPORTUNIDAD,VENEZUELA,TURISTA EXTRANJERO,RESTAURANTES,URBANA,SIN EMPLEO DE ARMAS,20,ADULTOS,SUPERIOR,ESTACION ENO REPORTADO17 CANDELARIA,CAI ROSARIO ENO REPORTADO17,8,2019,9,"4,596988418","-74,06957093"
M. BOGOTÁ,BOGOTÁ D.C. (CT),UPZ No. 94 LA CANDELARIA ENO REPORTADO17,ARTÍCULO 239. HURTO PERSONAS,CANDELARIA ENO REPORTADO17,17/1/2019,Enero,Jueves,12:00 NO REPORTADO 17:59,4:30:00 p. m.,MASCULINO,ATRACO,VENEZUELA,TURISTA EXTRANJERO,VIAS PUBLICAS,URBANA,ARMA BLANCA / CORTOPUNZANTE,21,ADULTOS,SUPERIOR,ESTACION ENO REPORTADO17 CANDELARIA,CAI BOLIVIA ENO REPORTADO17,1,2019,17,"4,595336143","-74,07260719"
M. BOGOTÁ,BOGOTÁ D.C. (CT),UPZ No. 102 LA SABANA ENO REPORTADO14,ARTÍCULO 239. HURTO PERSONAS,SANTA FE ENO REPORTADO14,14/2/2020,Febrero,Viernes,12:00 NO REPORTADO 17:59,1:00:00 p. m.,MASCULINO,ATRACO,COLOMBIA,TURISTA EXTRANJERO,CEMENTERIO,URBANA,ARMA BLANCA / CORTOPUNZANTE,21,ADULTOS,SUPERIOR,ESTACION ENO REPORTADO14 MARTIRES,CAI SAMPER MENDOZA ENO REPORTADO14,2,2020,14,"4,616029014","-74,07559327"
M. BOGOTÁ,BOGOTÁ D.C. (CT),LOCALIDAD CHAPINERO,ARTÍCULO 239. HURTO PERSONAS,ANTIGUO COUNTRY ENO REPORTADO2,9/3/2021,Marzo,Martes,12:00 NO REPORTADO 17:59,3:00:00 p. m.,FEMENINO,FACTOR DE OPORTUNIDAD,COLOMBIA,TURISTA EXTRANJERO,ALMACENES,URBANA,SIN EMPLEO DE ARMAS,21,ADULTOS,SUPERIOR,ESTACION ENO REPORTADO02 CHAPINERO,CAI EL VIRREY ENO REPORTADO2,3,2021,9,"4,668521415","-74,05661932"
M. BOGOTÁ,BOGOTÁ D.C. (CT),LOCALIDAD SANTAFE,ARTÍCULO 239. HURTO PERSONAS,EGIPTO ENO REPORTADO3,14/11/2019,Noviembre,Jueves,12:00 NO REPORTADO 17:59,12:00:00 p. m.,MASCULINO,ATRACO,VENEZUELA,TURISTA EXTRANJERO,VIAS PUBLICAS,URBANA,ARMA BLANCA / CORTOPUNZANTE,21,ADULTOS,SUPERIOR,ESTACION ENO REPORTADO03 SANTA FE,CAI LOS LACHES ENO REPORTADO3,11,2019,14,"4,59204456","-74,06799457"
M. BOGOTÁ,BOGOTÁ D.C. (CT),UPZ No. 93 LAS NIEVES ENO REPORTADO3,ARTÍCULO 239. HURTO PERSONAS,LAS NIEVES ENO REPORTADO3,13/3/2019,Marzo,Miércoles,12:00 NO REPORTADO 17:59,2:30:00 p. m.,FEMENINO,COSQUILLEO,VENEZUELA,TURISTA EXTRANJERO,VIAS PUBLICAS,URBANA,SIN EMPLEO DE ARMAS,22,ADULTOS,SUPERIOR,ESTACION ENO REPORTADO03 SANTA FE,CAI TORRES BLANCAS ENO REPORTADO3,3,2019,13,"4,607797393","-74,0701752"
M. BOGOTÁ,BOGOTÁ D.C. (CT),UPZ No. 88 EL REFUGIO ENO REPORTADO2,ARTÍCULO 239. HURTO PERSONAS,EL NOGAL ENO REPORTADO2,3/5/2019,Mayo,Viernes,00:00 NO REPORTADO 05:59,3:00:00 a. m.,FEMENINO,COSQUILLEO,VENEZUELA,TURISTA EXTRANJERO,VIAS PUBLICAS,URBANA,SIN EMPLEO DE ARMAS,22,ADULTOS,SUPERIOR,ESTACION ENO REPORTADO02 CHAPINERO,CAI OXY ENO REPORTADO2,5,2019,3,"4,664835301","-74,05137483"
M. BOGOTÁ,BOGOTÁ D.C. (CT),TERMINAL DE TRANSPORTES,ARTÍCULO 239. HURTO PERSONAS,TERMINAL,23/6/2019,Junio,Domingo,06:00 NO REPORTADO 11:59,6:00:00 a. m.,MASCULINO,FACTOR DE OPORTUNIDAD,VENEZUELA,TURISTA EXTRANJERO,TERMINAL DE TRANSPORTES,URBANA,SIN EMPLEO DE ARMAS,22,ADULTOS,SECUNDARIA,ESTACION ENO REPORTADO22 TERMINAL DE TRANSPORTE,NO REPORTADO,6,2019,23,"4,654633822","-74,11438528"
M. BOGOTÁ,BOGOTÁ D.C. (CT),LOCALIDAD SANTAFE,ARTÍCULO 239. HURTO PERSONAS,CENTRO ENO REPORTADO3,13/7/2019,Julio,Sábado,12:00 NO REPORTADO 17:59,2:00:00 p. m.,MASCULINO,ATRACO,VENEZUELA,TURISTA EXTRANJERO,VIAS PUBLICAS,URBANA,ARMA BLANCA / CORTOPUNZANTE,22,ADULTOS,SUPERIOR,ESTACION ENO REPORTADO03 SANTA FE,CAI SAN VICTORINO ENO REPORTADO3,7,2019,13,"4,602121674","-74,07837931"
