Shape *,OBJECTID_1,objectid,cenefa_par,mdoulo_par,zona_parad,nombre_par,direccion_,localidad_,consola_pa,panel_para,audio_para,Latitud,Longitud,Nombre_Localidad,Nombre_Zona,Localidad
Point,1,57288,001A00,A,0,C.C. Iserra 100,AC 100 - KR 54,12,AC 100 - KR 54 (001A00),AC 100 - KR 54,Avenida Calle 100 Carrera 54,4.688481,-74.063971,Barrios Unidos,0,Barrios Unidos
Point,2,57289,001A01,A,1,Br. Rincón del Chicó,AC 100 - KR 13,1,AC 100 - KR 13 (001A01),AC 100 - KR 13,Avenida Calle 100 Carrera 13,4.684091,-74.045914,Usaquén,1,Usaquén
Point,3,57290,001A02,A,2,Gimnasio Iragua,AV. Boyacá - AC 170,11,AV. Boyacá - AC 170 (001A02),AV. Boyacá - AC 170,Avenida Boyacá Avenida Calle 170,4.759867,-74.06635,Suba,2,Suba
Point,4,57291,001A03,A,3,Br. Julio Flórez,AC 100 - KR 66A,11,AC 100 - KR 66A  (001A03),AC 100 - KR 66A,Avenida Calle 100 Carrera 66 A,4.689504,-74.071439,Suba,3,Suba
Point,5,57292,001A04,A,4,Avenida Calle 80,AK 68 - CL 79D,12,AK 68 - CL 79D (001A04),AK 68 - CL 79D,Avenida Carrera 68 Calle 79 D,4.682626,-74.080392,Barrios Unidos,4,Barrios Unidos
Point,6,57293,001A05,A,5,Br. Pablo VI Norte,AK 50 - CL 59,13,AK 50 - CL 59 (001A05),AK 50 - CL 59,Avenida Carrera 50 Calle 59,4.651927,-74.084384,Teusaquillo,5,Teusaquillo
Point,7,57294,001A06,A,6,Avenida Calle 13,AK 68 - AC 13,9,AK 68 - AC 13 (001A06),AK 68 - AC 13,Avenida Carrera 68 Avenida Calle 13,4.63811,-74.117724,Fontibón,6,Fontibón
Point,8,57295,001A07,A,7,Br. San Francisco,AK 50 - TV 49,16,AK 50 - TV 49 (001A07),AK 50 - TV 49,Avenida Carrera 50 Transversal 49,4.625491,-74.108012,Puente Aranda,7,Puente Aranda
Point,9,57296,001A08,A,8,Br. Hipotecho Sur,AK 68 - CL 3 Sur,8,AK 68 - CL 3 Sur (001A08),AK 68 - CL 3 Sur,Avenida Carrera 68 Calle Tercera Sur,4.619447,-74.126021,Kennedy,8,Kennedy
Point,10,57297,001A09,A,9,Br. Alquería La Fragua II,AK 68 - CL 39I Sur,8,AK 68 - CL 39I Sur (001A09),AK 68 - CL 39I Sur,Avenida Carrera 68 Calle 39 I Sur,4.598327,-74.136273,Kennedy,9,Kennedy
Point,11,57298,001A10,A,10,Pq. Lagunetas,AV. Boyacá - DG 50A Sur,6,AV. Boyacá - DG 50A Sur (001A10),AV. Boyacá - DG 50A Sur,Avenida Boyacá Diagonal 50 A Sur,4.589934,-74.145558,Tunjuelito,10,Tunjuelito
Point,12,57299,001A11,A,11,Br. Arborizadora Baja,AV. Boyacá - KR 25,6,AV. Boyacá - KR 25 (001A11),AV. Boyacá - KR 25,Avenida Boyacá Carrera 25,4.577435,-74.141362,Tunjuelito,11,Tunjuelito
Point,13,57300,001A12,A,12,Funeraria Claret,AV. Caracas - CL 45 Sur,18,AV. Caracas - CL 45 Sur (001A12),AV. Caracas - CL 45 Sur,Avenida Caracas Calle 45 Sur,4.573561,-74.123687,Rafael Uribe Uribe,12,Rafael Uribe Uribe
Point,14,57301,001A13,A,13,Avenida 1 de Mayo,AV. 1 de Mayo - KR 2,4,AV. 1 de Mayo - KR 2 (001A13),AV. 1 de Mayo - KR 2,Avenida Primero de Mayo Carrera Segunda,4.571172,-74.089465,San Cristobal,13,San Cristobal
Point,15,57302,001B00,B,0,C.C. Iserra 100,AC 100 - KR 54,12,AC 100 - KR 54 (001B00),AC 100 - KR 54,Avenida Calle 100 Carrera 54,4.688533,-74.064179,Barrios Unidos,0,Barrios Unidos
Point,16,57303,001B01,B,1,Br. Rincón del Chicó,AC 100 - KR 11B,1,AC 100 - KR 11B (001B01),AC 100 - KR 11B,Avenida Calle 100 Carrera 11 Be,4.683694,-74.045073,Usaquén,1,Usaquén
Point,17,57304,001B03,B,3,Br. Julio Flórez,AC 100 - KR 65,11,AC 100 - KR 65 (001B03),AC 100 - KR 65,Avenida Calle 100 Carrera 65,4.689686,-74.070737,Suba,3,Suba
Point,18,57305,001B04,B,4,Avenida Calle 80,AK 68 - CL 79A,12,AK 68 - CL 79A (001B04),AK 68 - CL 79A,Avenida Carrera 68 Calle 79 A,4.682462,-74.080578,Barrios Unidos,4,Barrios Unidos
Point,19,57306,001B06,B,6,Avenida Calle 13,AK 68 - AC 13,9,AK 68 - AC 13 (001B06),AK 68 - AC 13,Avenida Carrera 68 Avenida Calle 13,4.638326,-74.117515,Fontibón,6,Fontibón
Point,20,57307,001B08,B,8,Br. Hipotecho Sur,AK 68- CL 1 Sur,8,AK 68- CL 1 Sur (001B08),AK 68- CL 1 Sur,Avenida Carrera 68 Calle Primera Sur,4.619937,-74.125895,Kennedy,8,Kennedy
Point,21,57308,001B09,B,9,Br. Alquería La Fragua II,AK 68 - CL  39G Sur,8,AK 68 - CL  39G Sur (001B09),AK 68 - CL  39G Sur,Avenida Carrera 68 Calle 39 G Sur,4.598076,-74.136461,Kennedy,9,Kennedy
Point,22,57309,001B10,B,10,Pq. Lagunetas,AV. Boyacá - DG 51 Sur,6,AV. Boyacá - DG 51 Sur (001B10),AV. Boyacá - DG 51 Sur,Avenida Boyacá Diagonal 51 Sur,4.590447,-74.145546,Tunjuelito,10,Tunjuelito
Point,23,57310,001B11,B,11,Br. Arborizadora Baja,AV. Boyacá - KR 29,6,AV. Boyacá - KR 29 (001B11),AV. Boyacá - KR 29,Avenida Boyacá Carrera 29,4.578251,-74.141783,Tunjuelito,11,Tunjuelito
Point,24,57311,001C00,C,0,C.C. Iserra 100,AC 100 - KR 54,12,AC 100 - KR 54 (001C00),AC 100 - KR 54,Avenida Calle 100 Carrera 54,4.688608,-74.064383,Barrios Unidos,0,Barrios Unidos
Point,25,57312,001C03,C,3,Br. Julio Flórez,AC 100 - KR 65,11,AC 100 - KR 65 (001C03),AC 100 - KR 65,Avenida Calle 100 Carrera 65,4.689732,-74.070511,Suba,3,Suba
Point,26,57313,001C04,C,4,AC 80,AK 68 - CL 78,12,AK 68 - CL 78 (001C04),AK 68 - CL 78,Avenida Carrera 68 Calle 78,4.682185,-74.08094,Barrios Unidos,4,Barrios Unidos
Point,27,57314,001C06,C,6,Avenida Calle 13,AK 68 - AC 13,9,AK 68 - AC 13 (001C06),AK 68 - AC 13,Avenida Carrera 68 Avenida Calle 13,4.638634,-74.117219,Fontibón,6,Fontibón
Point,28,57315,001C08,C,8,Br. Hipotecho Sur,AK 68 - CL 1 Sur,8,AK 68 - CL 1 Sur (001C08),AK 68 - CL 1 Sur,Avenida Carrera 68 Calle Primera Sur,4.620201,-74.125803,Kennedy,8,Kennedy
Point,29,57316,001D06,D,6,Avenida Calle 13,AK 68 - AC 13,9,AK 68 - AC 13 (001D06),AK 68 - AC 13,Avenida Carrera 68 Avenida Calle 13,4.638826,-74.117002,Fontibón,6,Fontibón
Point,30,57317,001D08,D,8,Br. Hipotecho Sur,AK 68 - CL 1 Sur,8,AK 68 - CL 1 Sur (001D08),AK 68 - CL 1 Sur,Avenida Carrera 68 Calle Primera Sur,4.620478,-74.125711,Kennedy,8,Kennedy
Point,31,57318,002A00,A,0,Br. San Felipe,AC 72 - KR 22,12,AC 72 - KR 22 (002A00),AC 72 - KR 22,Avenida Calle 72 Carrera 22,4.662386,-74.066056,Barrios Unidos,0,Barrios Unidos
Point,32,57319,002A01,A,1,Br. Barrancas Perlas del Norte,AC 153 - kr 7B,1,AC 153 - kr 7B (002A01),AC 153 - kr 7B,Avenida Calle 153 Carrera Séptima Be,4.728632,-74.026476,Usaquén,1,Usaquén
Point,33,57320,002A02,A,2,Br. Iragua,AV. Boyacá - AC 170,11,AV. Boyacá - AC 170 (002A02),AV. Boyacá - AC 170,Avenida Boyacá Avenida Calle 170,4.759618,-74.066025,Suba,2,Suba
Point,34,57321,002A03,A,3,Niza Norte,AV. Boyacá - CL 127A,11,AV. Boyacá - CL 127A (002A03),AV. Boyacá - CL 127A,Avenida Boyacá Calle 127 A,4.711234,-74.078999,Suba,3,Suba
Point,35,57322,002A04,A,4,Br. Bonanza,AV. Boyacá - CL 74A,10,AV. Boyacá - CL 74A (002A04),AV. Boyacá - CL 74A,Avenida Boyacá Calle 74 A,4.690327,-74.092653,Engativá,4,Engativá
Point,36,57323,002A05,A,5,Br. Nicolás de Federmann,AK 50 - CL 59,13,AK 50 - CL 59 (002A05),AK 50 - CL 59,Avenida Carrera 50 Calle 59,4.650901,-74.084514,Teusaquillo,5,Teusaquillo
Point,37,57324,002A06,A,6,Br. Granjas de Techo,AK 68 - CL 18,9,AK 68 - CL 18 (002A06),AK 68 - CL 18,Avenida Carrera 68 Calle 18,4.64112,-74.114708,Fontibón,6,Fontibón
Point,38,57325,002A07,A,7,CC Carrera,AK 50 - AV. Américas,16,AK 50 - AV. Américas (002A07),AK 50 - AV. Américas,Avenida Carrera 50 Avenida Américas,4.626018,-74.107916,Puente Aranda,7,Puente Aranda
Point,39,57326,002A08,A,8,Br. Milenta,AK 68 - CL 15 Sur,16,AK 68 - CL 15 Sur (002A08),AK 68 - CL 15 Sur,Avenida Carrera 68 Calle 15 Sur,4.613974,-74.127369,Puente Aranda,8,Puente Aranda
Point,40,57327,002A09,A,9,Br. Alquería,AK 68 - CL 42A Sur,16,AK 68 - CL 42A Sur (002A09),AK 68 - CL 42A Sur,Avenida Carrera 68 Calle 42 A Sur,4.59785,-74.136184,Puente Aranda,9,Puente Aranda
Point,41,57328,002A11,A,11,Br. San Benito,AV. Boyacá - CL 60 Sur,19,AV. Boyacá - CL 60 Sur (002A11),AV. Boyacá - CL 60 Sur,Avenida Boyacá Calle 60 Sur,4.562784,-74.138585,Ciudad Bolivar,11,Ciudad Bolivar
Point,42,57329,002A12,A,12, San José Sur,AV. Caracas - CL 46 Sur,18,AV. Caracas - CL 46 Sur (002A12),AV. Caracas - CL 46 Sur,Avenida Caracas Calle 46 Sur,4.569651,-74.125091,Rafael Uribe Uribe,12,Rafael Uribe Uribe
Point,43,57330,002A13,A,13,Carrera 2,AV. 1 de Mayo - KR 2,4,AV. 1 de Mayo - KR 2 (002A13),AV. 1 de Mayo - KR 2,Avenida Primero de Mayo Carrera Segunda,4.5706,-74.088913,San Cristobal,13,San Cristobal
Point,44,57331,002B04,B,4,Br. Bonanza,AV. Boyacá - CL 74A,10,AV. Boyacá - CL 74A (002B04),AV. Boyacá - CL 74A,Avenida Boyacá Calle 74 A,4.690202,-74.092758,Engativá,4,Engativá
Point,45,57332,002B06,B,6,Br. Granjas de Techo,AK 68 - CL 18,9,AK 68 - CL 18 (002B06),AK 68 - CL 18,Avenida Carrera 68 Calle 18,4.641407,-74.114423,Fontibón,6,Fontibón
Point,46,57333,002B08,B,8,Br. Milenta,AK 68 - CL 17 Sur,16,AK 68 - CL 17 Sur (002B08),AK 68 - CL 17 Sur,Avenida Carrera 68 Calle 17 Sur,4.614342,-74.127269,Puente Aranda,8,Puente Aranda
Point,47,57334,002B09,B,9,Br. Alquería,AK 68 - CL 42A Sur,16,AK 68 - CL 42A Sur (002B09),AK 68 - CL 42A Sur,Avenida Carrera 68 Calle 42 A Sur,4.597438,-74.136428,Puente Aranda,9,Puente Aranda
Point,48,57335,002B11,B,11,Br. San Benito,AV. Boyacá - CL 60B Bis Sur,19,AV. Boyacá - CL 60B Bis Sur (002B11),AV. Boyacá - CL 60B Bis Sur,Avenida Boyacá Calle 60 Be Bis Sur,4.561684,-74.138761,Ciudad Bolivar,11,Ciudad Bolivar
Point,49,57336,002C06,C,6,Granjas de Techo,AK 68 - CL 18,9,AK 68 - CL 18 (002C06),AK 68 - CL 18,Avenida Carrera 68 Calle 18,4.641693,-74.114111,Fontibón,6,Fontibón
Point,50,57337,002C08,C,8,Br. Milenta,AK 68 - CL 17 Sur,16,AK 68 - CL 17 Sur (002C08),AK 68 - CL 17 Sur,Avenida Carrera 68 Calle 17 Sur,4.613791,-74.127419,Puente Aranda,8,Puente Aranda
Point,51,57338,002C09,C,9,Br. Alquería,AK 68 - CL 42B Sur,16,AK 68 - CL 42B Sur (002C09),AK 68 - CL 42B Sur,Avenida Carrera 68 Calle 42 Be Sur,4.597185,-74.136609,Puente Aranda,9,Puente Aranda
Point,52,57339,002C11,C,11,Br. Meissen,AV Boyacá - KR 18C,19,AV Boyacá - KR 18C (002C11),AV Boyacá - KR 18C,Avenida Boyacá Carrera 18 C,4.560431,-74.138964,Ciudad Bolivar,11,Ciudad Bolivar
Point,53,57340,002D06,D,6,Br. Granjas de Techo,AK 68 - CL 18,9,AK 68 - CL 18 (002D06),AK 68 - CL 18,Avenida Carrera 68 Calle 18,4.641898,-74.113898,Fontibón,6,Fontibón
Point,54,57341,002D08,D,8,Br. Milenta,AK 68 - CL 18 Sur,16,AK 68 - CL 18 Sur (002D08),AK 68 - CL 18 Sur,Avenida Carrera 68 Calle 18 Sur,4.612976,-74.127681,Puente Aranda,8,Puente Aranda
Point,55,57342,003A00,A,0,Pq. Alcázares,AC 72 - KR 27,12,AC 72 - KR 27 (003A00),AC 72 - KR 27,Avenida Calle 72 Carrera 27,4.664149,-74.068797,Barrios Unidos,0,Barrios Unidos
Point,56,57343,003A02,A,2,Br. El Plan,AV. Boyacá - CL 147,11,AV. Boyacá - CL 147 (003A02),AV. Boyacá - CL 147,Avenida Boyacá Calle 147,4.736205,-74.066207,Suba,2,Suba
Point,57,57344,003A03,A,3,Pq. Alto de los Lagartos,AV. Boyacá - AC 127,11,AV. Boyacá - AC 127 (003A03),AV. Boyacá - AC 127,Avenida Boyacá Avenida Calle 127,4.709208,-74.080583,Suba,3,Suba
Point,58,57345,003A04,A,4,Br. 12 de Octubre,AC 72 - KR 52,12,AC 72 - KR 52 (003A04),AC 72 - KR 52,Avenida Calle 72 Carrera 52,4.669139,-74.075071,Barrios Unidos,4,Barrios Unidos
Point,59,57346,003A05,A,5,Br. Nicolás de Federmán,AK 50 - CL 57B,13,AK 50 - CL 57B (003A05),AK 50 - CL 57B,Avenida Carrera 50 Calle 57 Be,4.648628,-74.085403,Teusaquillo,5,Teusaquillo
Point,60,57347,003A06,A,6,Fiscalía General de la Nación,AK 50 - AC 24,13,AK 50 - AC 24 (003A06),AK 50 - AC 24,Avenida Carrera 50 Avenida Calle 24,4.637315,-74.098166,Teusaquillo,6,Teusaquillo
Point,61,57348,003A07,A,7,Br. San Francisco,AK 50 - TV 48,16,AK 50 - TV 48 (003A07),AK 50 - TV 48,Avenida Carrera 50 Transversal 48,4.624015,-74.109178,Puente Aranda,7,Puente Aranda
Point,62,57349,003A08,A,8,Ciudad Techo II,AV. A. Mejía - AV. Américas,8,AV. A. Mejía - AV. Américas (003A08),AV. A. Mejía - AV. Américas,Avenida Agoberto Mejía Avenida Américas,4.635262,-74.154185,Kennedy,8,Kennedy
Point,63,57350,003A09,A,9,Urb. Santa Rita,AK 50 - CL 31 Sur,16,AK 50 - CL 31 Sur (003A09),AK 50 - CL 31 Sur,Avenida Carrera 50 Calle 31 Sur,4.600068,-74.123197,Puente Aranda,9,Puente Aranda
Point,64,57351,003A10,A,10,Colmotores,AV. Boyacá - KR 36A,6,AV. Boyacá - KR 36A (003A10),AV. Boyacá - KR 36A,Avenida Boyacá Carrera 36 A,4.586349,-74.14443,Tunjuelito,10,Tunjuelito
Point,65,57352,003A11,A,11,Br. San Benito,AV. Boyacá - CL 60A Sur,19,AV. Boyacá - CL 60A Sur (003A11),AV. Boyacá - CL 60A Sur,Avenida Boyacá Calle 60 A Sur,4.562056,-74.139172,Ciudad Bolivar,11,Ciudad Bolivar
Point,66,57353,003A12,A,12,Br. Marco Fidel Suárez,AV. Caracas - KR 14A,18,AV. Caracas - KR 14A (003A12),AV. Caracas - KR 14A,Avenida Caracas Carrera 14 A,4.563592,-74.124864,Rafael Uribe Uribe,12,Rafael Uribe Uribe
Point,67,57354,003A13,A,13,Br. San Cristóbal Sur,DG 13 Sur - KR 5 Este,4,DG 13 Sur - KR 5 Este (003A13),DG 13 Sur - KR 5 Este,Diagonal 13 Sur Carrera Quinta Este,4.571268,-74.080555,San Cristobal,13,San Cristobal
Point,68,57355,003B03,B,3,Pq. Alto de los Lagartos,AV. Boyacá - AC 127,11,AV. Boyacá - AC 127 (003B03),AV. Boyacá - AC 127,Avenida Boyacá Avenida Calle 127,4.708813,-74.080802,Suba,3,Suba
Point,69,57356,003B10,B,10,Colmotores,AV. Boyacá - DG 53 Sur,6,AV. Boyacá - DG 53 Sur (003B10),AV. Boyacá - DG 53 Sur,Avenida Boyacá Diagonal 53 Sur,4.587177,-74.144751,Tunjuelito,10,Tunjuelito
Point,70,57357,003B11,B,11,Br. San Benito,AV. Boyacá - CL 60 Sur,19,AV. Boyacá - CL 60 Sur (003B11),AV. Boyacá - CL 60 Sur,Avenida Boyacá Calle 60 Sur,4.562313,-74.139143,Ciudad Bolivar,11,Ciudad Bolivar
Point,71,57358,004A00,A,0,Br. Los Alcázares Norte,AC 72 - KR 28,12,AC 72 - KR 28 (004A00),AC 72 - KR 28,Avenida Calle 72 Carrera 28,4.665533,-74.070291,Barrios Unidos,0,Barrios Unidos
Point,72,57359,004A01,A,1,Br. Barrancas Perlas del Norte,AC 153 - 7F,1,AC 153 - 7F (004A01),AC 153 - 7F,Avenida Calle 153 Séptima F,4.729423,-74.028142,Usaquén,1,Usaquén
Point,73,57360,004A02,A,2,Escuela de Carabineros,AV. Boyacá - AC 147,11,AV. Boyacá - AC 147 (004A02),AV. Boyacá - AC 147,Avenida Boyacá Avenida Calle 147,4.734139,-74.06715,Suba,2,Suba
Point,74,57361,004A03,A,3,Pq. Alto de Los Lagartos (Club Choquenzá),AV. Boyacá - AC 127,11,AV. Boyacá - AC 127 (004A03),AV. Boyacá - AC 127,Avenida Boyacá Avenida Calle 127,4.709207,-74.080304,Suba,3,Suba
Point,75,57362,004A04,A,4,Br. La Soledad Norte,AC 72 - TV 83 Bis,10,AC 72 - TV 83 Bis (004A04),AC 72 - TV 83 Bis,Avenida Calle 72 Transversal 83 Bis,4.695899,-74.105253,Engativá,4,Engativá
Point,76,57363,004A05,A,5,Pq. La Esmeralda,AK 50 - CL 45,13,AK 50 - CL 45 (004A05),AK 50 - CL 45,Avenida Carrera 50 Calle 45,4.645377,-74.08703,Teusaquillo,5,Teusaquillo
Point,77,57364,004A06,A,6,Br. Ortezal,AK 50 - CL 22 Bis,16,AK 50 - CL 22 Bis (004A06),AK 50 - CL 22 Bis,Avenida Carrera 50 Calle 22 Bis,4.636285,-74.099718,Puente Aranda,6,Teusaquillo
Point,78,57365,004A07,A,7,Br. San Rafael Industrial,AK 50 - CL 5C-81,16,AK 50 - CL 5C-81 (004A07),AK 50 - CL 5C-81,Avenida Carrera 50 Calle Quinta C,4.624267,-74.109293,Puente Aranda,7,Puente Aranda
Point,79,57366,004A08,A,8,Corabastos,AV. A. Mejía - AV. Américas,8,AV. A. Mejía - AV. Américas (004A08),AV. A. Mejía - AV. Américas,Avenida Agoberto Mejía Avenida Américas,4.634914,-74.15426,Kennedy,8,Kennedy
Point,80,57367,004A09,A,9,Pq. Santa Rita I Sector,AK 50 - CL 31 Sur,16,AK 50 - CL 31 Sur (004A09),AK 50 - CL 31 Sur,Avenida Carrera 50 Calle 31 Sur,4.600145,-74.123388,Puente Aranda,9,Puente Aranda
Point,81,57368,004A10,A,10,Br. Inglés,AV. J. Gaitán C. - CL 41 Sur,18,AV. J. Gaitán C. - CL 41 Sur (004A10),AV. J. Gaitán C. - CL 41 Sur,Avenida Jorge Gaitán Cortés Calle 41 Sur,4.587678,-74.126207,Rafael Uribe Uribe,10,Rafael Uribe Uribe
Point,82,57369,004A11,A,11,Br. Lucero Alto,AV. Boyacá - KR 18Q,19,AV. Boyacá - KR 18Q (004A11),AV. Boyacá - KR 18Q,Avenida Boyacá Carrera 18 Q,4.558725,-74.139154,Ciudad Bolivar,11,Ciudad Bolivar
Point,83,57370,004A12,A,12,Br. El Playón,AV. Caracas - KR 11,18,AV. Caracas - KR 11 (004A12),AV. Caracas - KR 11,Avenida Caracas Carrera 11,4.559238,-74.12324,Rafael Uribe Uribe,12,Rafael Uribe Uribe
