id,iddepto,nomdepto,idmpio,nompio,codigohabilitacion,nombre,nitsnit,ese,direccion,direccionorig,telefono,najunombre,numerosedeprincipal,latitude,longitude,Localidad
1,11,Bogotá D.C,11001,BOGOTÁ,"1,100,100,032",COOPERATIVA PARA LA SALUD ORAL ORALCOOP,"830,000,001",NO,CARRERA 64 100-55,CARRERA 64 100-55,5330539-3134241468,Privada,1,4.5977908,-74.1552055,Ciudad Bolivar
2,11,Bogotá D.C,11001,BOGOTÁ,"1,100,100,103",INSTITUTO NACIONAL DEL RIÑON LTDA,"800,241,339",NO,CLL 43 # 25 - 61,CLL 43 # 25 - 61,4391270,Privada,1,4.6536482,-74.1007801,Teusaquillo
3,11,Bogotá D.C,11001,BOGOTÁ,"1,100,100,130",INVERSIONES DAMA SALUD SAS,"830,108,482",NO,CARRERA 15 No. 95-18/22 LC 1 - Barrio:CHICO NORTE,CARRERA 15 No. 95-18/22 LC 1 - Barrio:CHICO NORTE,3144311,Privada,23,4.7055644,-74.0426829,Usaquén
4,11,Bogotá D.C,11001,BOGOTÁ,"1,100,100,203",FUNDACION CEPYTIN,"830,111,502",NO,CRA 73 No 7 C - 39,CRA 73 No 7 C - 39,2921430,Privada,1,4.639183,-74.138618,Kennedy
6,11,Bogotá D.C,11001,BOGOTÁ,"1,100,100,224",ETICA ORAL LIMITADA,"800,176,600",NO,CL 127 No 19A -44/62  P2 CONS 202-203 ACOMEDICA 2,CL 127 No 19A -44/62  P2 CONS 202-203 ACOMEDICA 2,6025050,Privada,1,4.625436,-74.1291301,Kennedy
7,11,Bogotá D.C,11001,BOGOTÁ,"1,100,100,356",BIONUCLEAR S.A.S,"800,224,466",NO,"AK 45 # 106 30 OFICINA 204, CONSULTORIO 201 Y 209","AK 45 # 106 30 OFICINA 204, CONSULTORIO 201 Y 209",6207838 - 7521203,Privada,1,4.6938583,-74.0555222,Usaquén
8,11,Bogotá D.C,11001,BOGOTÁ,"1,100,100,396",CLINICA RETORNAR SAS,"800,160,827",NO,AK 20 87 33,AK 20 87 33,7957100,Privada,1,4.6749673,-74.0595563,Barrios Unidos
9,11,Bogotá D.C,11001,BOGOTÁ,"1,100,100,483",SALUD INTEGRAL EL LAGO LTDA,"830,014,375",NO,CL 79 # 18 34 CS 506,CL 79 # 18 34 CS 506,8056234,Privada,1,4.7161324,-74.1185484,Engativá
10,11,Bogotá D.C,11001,BOGOTÁ,"1,100,100,518",OPTICA COLOMBIANA S.A.S,"860,001,449",NO,KR 12 82 02 LC 208 - Barrio:CHICO N,KR 12 82 02 LC 208 - Barrio:CHICO N,2369824,Privada,10,4.5672951,-74.1065687,Rafael Uribe Uribe
11,11,Bogotá D.C,11001,BOGOTÁ,"1,100,100,592",UNIDAD RADIOLOGICA DENTO CRANEO MAXILO FACIAL S.A.,"860,401,032",NO,CL 125 No. 20 - 70 OF 204,CL 125 No. 20 - 70 OF 204,2153469 - 3226313167,Privada,1,4.7066399,-74.0619617,Suba
12,11,Bogotá D.C,11001,BOGOTÁ,"1,100,100,616",CENTRO DE ENFERMEDADES DIGESTIVAS SAS,"830,027,806",NO,CRA 16 # 84 A 09 OFICINA 311 CONSULTORIO 3,CRA 16 # 84 A 09 OFICINA 311 CONSULTORIO 3,6427200,Privada,1,4.5902581,-74.0944554,Antonio Nariño
13,11,Bogotá D.C,11001,BOGOTÁ,"1,100,100,661",LITOMEDICA S.A,"800,048,880",NO,CRA 13 # 49 40 CONS 620,CRA 13 # 49 40 CONS 620,2851754-3380054-2883109,Privada,1,4.5592249,-74.1314313,Tunjuelito
14,11,Bogotá D.C,11001,BOGOTÁ,"1,100,100,670",FUNDACION PARA LA REHABILITACION DE ALCOHOLICOS Y ADICTOS-FUNDAR,"860,039,431",NO,CRA 16 # 36 22,CRA 16 # 36 22,2454710,Privada,1,4.6251001,-74.0707635,Teusaquillo
15,11,Bogotá D.C,11001,BOGOTÁ,"1,100,100,731",PREMISALUD S.A.,"830,088,332",NO,"CALLE 24 D # 40 - 13 PISO 1 CONSULTORIOS 101, 102, 103, 104, 105, 106, 107, 108, 109, 110 PISO 2 CONSULTORIOS 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215 PISO 3 CONSULTORIOS 301, 302, 303, 304, 305, 306.","CALLE 24 D # 40 - 13 PISO 1 CONSULTORIOS 101, 102, 103, 104, 105, 106, 107, 108, 109, 110 PISO 2 CONSULTORIOS 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215 PISO 3 CONSULTORIOS 301, 302, 303, 304, 305, 306.",2730475,Privada,3,4.6260332,-74.0856267,Teusaquillo
16,11,Bogotá D.C,11001,BOGOTÁ,"1,100,100,732",OPTICA DR MENDEZ S A S,"860,513,677",NO,CRA 13 # 42 08,CRA 13 # 42 08,2859753,Privada,1,4.5592249,-74.1314313,Tunjuelito
17,11,Bogotá D.C,11001,BOGOTÁ,"1,100,100,733",CEUSA CENTRO DE ESPECIALISTAS EN UROLOGIA S A,"800,167,228",NO,CARRERA 16 NO. 84A - 09 OFICINA 419,CARRERA 16 NO. 84A - 09 OFICINA 419,6217017- 3166929389,Privada,5,4.5902581,-74.0944554,Antonio Nariño
18,11,Bogotá D.C,11001,BOGOTÁ,"1,100,100,855",OPTIVISION SAS,"860,522,344",NO,CALLE 62 # 11 04  LOCAL 6,CALLE 62 # 11 04  LOCAL 6,2127906,Privada,1,4.64866,-74.0627834,Chapinero
20,11,Bogotá D.C,11001,BOGOTÁ,"1,100,100,930","FUNDACION CENTRO DE INVESTIGACION E INFORMACION EN DEFICIENCIAS AUDITIVAS-""""CINDA""""""","800,223,876",NO,CALLE 35 No. 17-24,CALLE 35 No. 17-24,5104341- 5106499- 5103829,Privada,1,4.624513650000001,-74.07234911408987,Teusaquillo
21,11,Bogotá D.C,11001,BOGOTÁ,"1,100,100,997","ASOCIACION CENTRO DE ATENCION PARA NIÑOS CON TRASTORNOS SENSORIOMOTORES """"ACONIÑO""""""","800,175,839",NO,CALLE 127 B # 45-28,CALLE 127 B # 45-28,6508473,Privada,1,4.7181199,-74.0913868,Suba
22,11,Bogotá D.C,11001,BOGOTÁ,"1,100,101,010",INVERSIONES EN RECREACION DEPORTE Y SALUD S.A. Sigla: BODYTECH S.A.,"830,033,206",NO,carrera 19 B # 83-11,carrera 19 B # 83-11,7442222- EXT 40257 CELULAR 3213046169,Privada,1,4.5595465,-74.1435493,Ciudad Bolivar
23,11,Bogotá D.C,11001,BOGOTÁ,"1,100,101,052",RED COLOMBIANA DE MEDICINA GENETICA SAS  PREGEN,"800,028,714",NO,CRA 15A No 106-42,CRA 15A No 106-42,6293877,Privada,1,4.6483757,-74.0664877,Teusaquillo
24,11,Bogotá D.C,11001,BOGOTÁ,"1,100,101,085",MEDICOS CARDIOLOGOS ASOCIADOS MEDICARDIA LTDA,"800,081,086",NO,CRA 16 # 82 74 CONS 417- 419,CRA 16 # 82 74 CONS 417- 419,6919349 - 3203069506,Privada,1,4.5902581,-74.0944554,Antonio Nariño
26,11,Bogotá D.C,11001,BOGOTÁ,"1,100,101,158",PATOLAB RX LTDA,"800,145,502",NO,KR 19C 90-14 CONSULTORIO 308-309,KR 19C 90-14 CONSULTORIO 308-309,3103075205,Privada,1,4.5599382,-74.1501183,Ciudad Bolivar
27,11,Bogotá D.C,11001,BOGOTÁ,"1,100,101,287",CLINICA MEDICO OFTALMOLOGICA DEL NIÑO Y DEL ADULTO S.A.S,"830,049,044",NO,DG 40 A BIS # 14 79 primer y segundo piso,DG 40 A BIS # 14 79 primer y segundo piso,2329110 -2329103 -3202497,Privada,1,4.6303061,-74.0712758,Teusaquillo
28,11,Bogotá D.C,11001,BOGOTÁ,"1,100,101,288",ORDEN MINISTROS DE LOS ENFERMOS,"860,013,635",NO,CARRERA 15 ESTE No. 69 - 60 SUR,CARRERA 15 ESTE No. 69 - 60 SUR,2072124,Privada,1,4.5167435,-74.0898378,Usme
30,11,Bogotá D.C,11001,BOGOTÁ,"1,100,101,435",CENTRO DE ANGIOLOGIA Y CIRUGIA VASCULAR LTDA,"800,232,254",,KR 13 # 49 40 CS 425,KR 13 # 49 40 CS 425,2320052,Privada,1,4.5592249,-74.1314313,Tunjuelito
31,11,Bogotá D.C,11001,BOGOTÁ,"1,100,101,443",OFTALMOS S.A.,"860,006,626",NO,AC 100 No. 18 A 51,AV 100 No. 18 A 51,2187077 ext 326,Privada,1,4.6844387,-74.0466643,Usaquén
32,11,Bogotá D.C,11001,BOGOTÁ,"1,100,101,579",SOCIEDAD PEDIATRICA DE LOS ANDES S.A.S - SPLA S.A.S.,"830,071,938",NO,"Carrera 48 # 94-19 Pisos 0, 1, 2, 3 y 4","Carrera 48 # 94-19 Pisos 0, 1, 2, 3 y 4",6107242 - 3166952786,Privada,1,4.5745894,-74.1579538,Ciudad Bolivar
33,11,Bogotá D.C,11001,BOGOTÁ,"1,100,101,582",LABORATORIO VASCULAR ECOLAB Y COMPAÑIA LIMITADA,"830,017,706",NO,KR 18 # 84 11 CS 603,KR 18 # 84 11 CS 603,6100818,Privada,1,4.5770806,-74.1142508,Rafael Uribe Uribe
34,11,Bogotá D.C,11001,BOGOTÁ,"1,100,101,600",CARDIOLOG LABORATORIO DE CARDIOLOGIA INTEGRAL LIMITADA,"800,167,356",,AC 127 # 20 78  CS 409 y 411,AC 127 # 20 78  CS 409 y 411,2593531-6156908,Privada,1,4.7040181,-74.0344695,Usaquén
35,11,Bogotá D.C,11001,BOGOTÁ,"1,100,101,624",MEDICANESTESIA S.A,"860,350,624",NO,AK 9 # 116 20 CS 722 - 728 - 740,Avenida 9 # 116 20 CS 722 - 728 - 740,6122362,Privada,1,4.7601781,-74.03148,Usaquén
36,11,Bogotá D.C,11001,BOGOTÁ,"1,100,101,640",CENTRO DE ENDOCRINOLOGIA Y ENFERMEDADES METABOLICAS LTDA,"800,217,248",NO,CRA. 16 No. 84A  - 09 Cons. 712,CRA. 16 No. 84A  - 09 Cons. 712,6228762,Privada,1,4.5902581,-74.0944554,Antonio Nariño
37,11,Bogotá D.C,11001,BOGOTÁ,"1,100,101,693",UNIDAD DE NEUROLOGIA LTDA,"800,236,932",NO,KR 16 # 84 A 09 CS 523,KR 16 # 84 A 09 CS 523,6217517,Privada,1,4.5902581,-74.0944554,Antonio Nariño
38,11,Bogotá D.C,11001,BOGOTÁ,"1,100,101,746",MEDICINA MATERNO FETAL DEL COUNTRY LTDA,"830,062,358",NO,KR 16 # 82 95 CS 303b,KR 16 # 82 95 CS 303b,2184774,Privada,1,4.5902581,-74.0944554,Antonio Nariño
39,11,Bogotá D.C,11001,BOGOTÁ,"1,100,101,751",ALARCON FORERO SOCIEDAD DE MEDICINA DEPORTIVA LTDA AF MEDICINA DEPORTIVA LTDA,"830,113,969",NO,calle 106    No. 17 a  58,calle 106    No. 17 a  58,6372424,Privada,1,4.5058523,-74.1122161,Usme
41,11,Bogotá D.C,11001,BOGOTÁ,"1,100,101,813",CENTRO NEUROLOGICO DE BOGOTA LIMITADA,"860,353,671",NO,Carrera 16 No.82-95 Consultorio 606,Carrera 16 No.82-95 Consultorio 606,6108069,Privada,1,4.5902581,-74.0944554,Antonio Nariño
42,11,Bogotá D.C,11001,BOGOTÁ,"1,100,101,814",CENTRO DE ENFERMEDADES MAMARIAS LTDA,"800,153,488",NO,"Cra 16 # 82-47 Cons 502 A, 502 B y Pisos 6 y 7","Cra 16 # 82-47 Cons 502 A, 502 B y Pisos 6 y 7",6910851  3153652639,Privada,1,4.5902581,-74.0944554,Antonio Nariño
43,11,Bogotá D.C,11001,BOGOTÁ,"1,100,101,824",INSTITUTO OFTALMOLOGICO SALAMANCA S.A IOSAL,"830,053,297",NO,CRA 18 # 79 32,CRA 18 # 79 32,6102088,Privada,1,4.66653005,-74.05895596671019,Chapinero
44,11,Bogotá D.C,11001,BOGOTÁ,"1,100,101,847",INSTITUTO AMERICANO DE OFTALMOLOGIA S.A.S,"800,229,839",NO,KR 15 # 88-20 PISO 2,KR 15 # 88-20 PISO 2,2573064 - 2566081,Privada,1,4.7055644,-74.0426829,Usaquén
45,11,Bogotá D.C,11001,BOGOTÁ,"1,100,101,935",FUNDACION LIGA CENTRAL CONTRA LA EPILEPSIA,"860,076,321",NO,CALLE 35 # 17 48,CALLE 35 # 17 48,3272360-2455717-7487058-3223047602,Privada,1,4.6245996,-74.07246494403242,Teusaquillo
46,11,Bogotá D.C,11001,BOGOTÁ,"1,100,101,969",FISIOTERPIA AVANZADA S.A.S,"830,089,444",NO,AVENIDA CARRERA 45 N° 104 - 60 Interior 2 Piso 1,AVENIDA CARRERA 45 N° 104 - 60 Interior 2 Piso 1,3228938355,Privada,1,4.7364014,-74.0485756,Usaquén
47,11,Bogotá D.C,11001,BOGOTÁ,"1,100,101,990",CORPORACION SINDROME DE DOWN,"800,037,619",NO,CARRERA 49 # 99 - 10,CARRERA 49 # 99 - 10,3125226979,Privada,1,4.7014088,-74.0584385,Suba
48,11,Bogotá D.C,11001,BOGOTÁ,"1,100,101,995",LABORATORIO DE OTONEUROLOGIA - INSTITUTO NACIONAL DE OTOLOGIA GARCIA GOMEZ SAS,"800,173,625",NO,AV. CR 9 NO 116 - 20 CONSULTORIO. 219  219 A- 219 B,AV. CR 9 NO 116 - 20 CONSULTORIO. 219  219 A- 219 B,3143168254-3161689,Privada,1,4.7601781,-74.03148,Usaquén
49,11,Bogotá D.C,11001,BOGOTÁ,"1,100,101,996",UNIDAD MEDICO QUIRÚRGICA DE ORL SAS SIGLA UNIMEQ ORL SAS,"860,509,323",NO,AK 9 # 116 20 CS  207 211 213  215 217 221,AV 9 # 116 20 CS  207 211 213  215 217 221,7396139 - 3118995244,Privada,1,4.7601781,-74.03148,Usaquén
51,11,Bogotá D.C,11001,BOGOTÁ,"1,100,102,130",DENTIFACIL LTDA,"830,100,571",NO,AK 19 # 118 95 OF 202,AV 19 # 118 95 OF 202,4673903-4673696,Privada,1,4.7004763,-74.0498529,Usaquén
52,11,Bogotá D.C,11001,BOGOTÁ,"1,100,102,166",REHABILITANDO SAS,"830,018,645",NO,AV SUBA N°  115  58 TORRE A CONSULTORIOS  202 -  212 -  213,AV SUBA N°  115  58 TORRE A CONSULTORIOS  202 -  212 -  213,6247141-3112408797,Privada,1,4.6741323,-74.0674637,Barrios Unidos
53,11,Bogotá D.C,11001,BOGOTÁ,"1,100,102,297",ODONTEQ LIMITADA,"830,101,814",NO,"CRA 71 D No 6- 94 SUR LC 35 - 06 , 35-07.","CRA 71 D No 6- 94 SUR LC 35 - 06 , 35-07.",2619407,Privada,1,4.5857678,-74.1631065,Ciudad Bolivar
55,11,Bogotá D.C,11001,BOGOTÁ,"1,100,102,324",DIAGNOSTICO OCULAR DEL COUNTRY SAS,"830,079,022",NO,KR 16 # 82 95 CS 702,KR 16 # 82 95 CS 702,6110978 - 2362926,Privada,1,4.5902581,-74.0944554,Antonio Nariño
56,11,Bogotá D.C,11001,BOGOTÁ,"1,100,102,334",RADIOLOGIA  Y MEDICINA NUCLEAR DE LA SABANA SAS RADIONUCLEAR SAS,"800,033,745",NO,AK 7 # 119 14 CONS 110,AK 7 # 119 14 CONS 110,2157375,Privada,1,4.6907748,-74.0341986,Usaquén
58,11,Bogotá D.C,11001,BOGOTÁ,"1,100,102,351",SOCIEDAD DE ANESTESIOLOGOS DEL COUNTRY S.A.,"860,032,625",NO,Carrera 16 82-51 CONSULTORIO 402,Carrera 16 82-51 CONSULTORIO 402,6183426,Privada,1,4.5902581,-74.0944554,Antonio Nariño
59,11,Bogotá D.C,11001,BOGOTÁ,"1,100,102,404",INSTITUTO DE DIAGNOSTICO MEDICO S.A.,"800,065,396",NO,CL 76 # 13 - 46,CL 76 # 13 - 46,3438770,Privada,1,4.7055789,-74.1101337,Engativá
60,11,Bogotá D.C,11001,BOGOTÁ,"1,100,102,450",DIAGNOSTICOS E IMAGENES SAS,"830,092,718",NO,AC 127 NO. 15A-55 CS 4 Y 5 - Barrio:SANTA BARBARA,AC 127 NO. 15A-55 CS 4 Y 5 - Barrio:SANTA BARBARA,5801125,Privada,4,4.7036464,-74.0331045,Usaquén
61,11,Bogotá D.C,11001,BOGOTÁ,"1,100,102,457",SOCIEDAD DE OFTALMOLOGIA EDUARDO ARENAS ARCHILA EU,"860,048,345",NO,CRA 21 # 100 -20 CS 701,CRA 21 # 100 -20 CS 701,6111711,Privada,1,9.2910351,-75.383985,
62,11,Bogotá D.C,11001,BOGOTÁ,"1,100,102,539",CENTRO OFTALMOLOGICO DE LASER SAS SIGLA COLASER SAS,"800,146,271",NO,CL  93 # 15 51 OF 310 y 206-1,CL  93 # 15 51 OF 310 y 206-1,6185414,Privada,1,4.7137644,-74.0958458,Engativá
63,11,Bogotá D.C,11001,BOGOTÁ,"1,100,102,540",INTEGRA MEDICA COLOMBIA SA,"830,003,807",NO,CRA 14 No 127-11 CON 303 MEZANINE PISO 1,CRA 14 No 127-11 CON 303 MEZANINE PISO 1,6146975-6147078-3108087950,Privada,1,4.6754389,-74.0512977,Chapinero
64,11,Bogotá D.C,11001,BOGOTÁ,"1,100,102,545",CENTRO DE TECNOLOGIA OFTALMICA  S.A.S.  Y PODRÁ UTILIZAR LA SIGLA CTO S.A.S,"860,352,594",NO,CL 98 N° 15 - 28 - Barrio:CHICO NORTE,CL 98 N° 15 - 28 - Barrio:CHICO NORTE,7429167 - 3144582408,Privada,3,4.6879351,-74.069226,Barrios Unidos
65,11,Bogotá D.C,11001,BOGOTÁ,"1,100,102,622",SOCIEDAD DE ENFERMERAS PROFESIONALES SAS - SEP SAS,"860,400,547",NO,Carrera 18 No 140 - 53,Carrera 18 No 140 - 53,7420842,Privada,1,4.5770806,-74.1142508,Rafael Uribe Uribe
66,11,Bogotá D.C,11001,BOGOTÁ,"1,100,102,654",EMPRESA SOCIAL DEL ESTADO CENTRO DERMATOLOGICO FEDERICO LLERAS ACOSTA,"800,247,350",SI,CLL 1a. No. 13A - 61,Avenida 1a. No. 13A - 61,912428160,Pública,1,4.5962655,-74.1026468,Los Mártires
68,11,Bogotá D.C,11001,BOGOTÁ,"1,100,102,894",CIRULASER ANDES S.A,"800,112,384",NO,AK 9 # 116 20 LC 108 CS 312,AV  9 # 116 20 LC 108 CS 312,6373911 - 3134114971,Privada,1,4.7601781,-74.03148,Usaquén
69,11,Bogotá D.C,11001,BOGOTÁ,"1,100,102,929",INPAT INVESTIGACIONES EN PATOLOGIA  LTDA,"830,074,609",NO,CL 83 # 19 36 CS 504,CL 83 # 19 36 CS 504,6115287,Privada,1,4.6700461,-74.0596304,Chapinero
70,11,Bogotá D.C,11001,BOGOTÁ,"1,100,103,016",INSTITUTO DE CORNEA S A S,"800,089,364",NO,KR 7 A # 121 36 PRIMER PISO,KR 7 A # 121 36 PRIMER PISO,6128426,Privada,1,4.769857,-74.0279152,Usaquén
71,11,Bogotá D.C,11001,BOGOTÁ,"1,100,103,020",CENTRO DE EVALUACION MEDICA PORVIDA LIMITADA La sociedad podra usar la sigla CEM PORVIDA,"830,066,635",NO,Av. Calle 9 # 50 15 Local C1060,Av. Calle 9 # 50 15 Local C1060,5640026 - 3125890196,Privada,1,4.6277609,-74.1078247,Puente Aranda
72,11,Bogotá D.C,11001,BOGOTÁ,"1,100,103,031",MEDICA MAGDALENA SAS,"860,502,092",NO,CALLE 39 # 14 34,CALLE 39 # 14 34,2853900-3132820481,Privada,1,4.6276573,-74.0774418,Teusaquillo
73,11,Bogotá D.C,11001,BOGOTÁ,"1,100,103,035",EXILASER S.A,"830,002,198",NO,"CRA 16 # 84A 09 CONS 719, 720, 721","CRA 16 # 84A 09 CONS 719, 720, 721",3715290-6217556-3112598937,Privada,1,4.5902581,-74.0944554,Antonio Nariño
