index,atm_class,atm_name,atm_address,atm_latitude,atm_longitude
0,cajero-bancolombia,Cajero Bancolombia Éxito calle 170,Calle 172 # 41-63,4.755227223495202,-74.04406428337097
1,cajero-bancolombia,Cajero Bancolombia Centro Comercial Arizona,Carrera 58A # 167-58,4.75019501,-74.05977124
2,cajero-bancolombia,Cajero Bancolombia Calle 13,Calle 13 # 13-71,4.716252973,-74.21266285
3,cajero-bancolombia,Cajero Bancolombia Éxito Express Carrera 7 con 45,Carrera 7 # 45-19,4.6315828,-74.06427521
4,cajero-bancolombia,Cajero Automatico Bancolombia Exito Quirinal,Calle 60 # 56A-40,4.65386898794463,-74.0866244610878
5,cajero-bancolombia,Cajero Bancolombia Javeriana Calle 40,Calle 40 # 6-23,4.627009,-74.064537
6,cajero-bancolombia,Cajero Bancolombia Carrera 13 Con 13,Carrera 13 # 13-23,4.60325788212201,-74.0788878466658
7,cajero-bancolombia,Cajero Bancolombia El Retiro,Calle 82 # 11-75,4.665694,-74.0544181
8,cajero-bancolombia,Cajero Bancolombia Esquina Comercial Primera de Mayo,Carrera 9 # 73-44,4.6571539,-74.0560652
9,cajero-bancolombia,Cajero Bancolombia Éxito Express Carrera 19 con 145,Avenida 19 # 145-33,4.72740299,-74.04569869
10,cajero-bancolombia,Cajero Bancolombia Sucursal Puerta Grande,Calle 10 # 22-04,4.60632955,-74.08937199
11,cajero-bancolombia,Cajero Bancolombia Surtimax San Luis,Carrera 91 # 128D-34,4.72330004,-74.08948875
12,cajero-bancolombia,Cajero Bancolombia Laboratorios La Santé,Calle 17 # 32-34,4.61774221,-74.09193635
13,cajero-bancolombia,Cajero Bancolombia Sucursal Hayuelos,Calle 20 # 82-52,4.66272787,-74.13077496
14,cajero-bancolombia,Cajero Bancolombia Surtimax Villa Sonia,Carrera 39A # 34-24 Sur,4.59613161,-74.12175307
15,cajero-bancolombia,Cajero Bancolombia Carrera 4,Carrera 4 # 3-54,4.58951315966072,-74.0766532707402
16,cajero-bancolombia,Cajero Bancolombia Outlet Floresta,Carrera 69 # 98A-45,4.69133416139646,-74.0748322657223
17,cajero-bancolombia,Cajero Bancolombia Iserra 100,Transversal 55 # 98A-66,4.68758223,-74.0644708
18,cajero-bancolombia,Cajero Bancolombia Ciudad Salitre,Calle 25 # 68B-02,4.65453878,-74.10684171
19,cajero-bancolombia,Cajero Bancolombia Frigorífico San Martín,Carrera 86 # 15A-91,4.65699562,-74.13858166
20,cajero-bancolombia,Cajero Bancolombia Sucursal Ciudad Kennedy,Calle 35 Sur # 78-06,4.62376315,-74.14799214
21,cajero-bancolombia,Cajero Bancolombia Surtimax Bodeguita Codito,Carrera 7 # 187A-10,4.76377978,-74.02747372
22,cajero-bancolombia,Cajero Bancolombia Transmilenio Estación Jiménez,Calle 13 con Carrera 14,4.60390722,-74.07985297
23,cajero-bancolombia,Cajero Bancolombia Surtimax Tabora,Calle 72 # 78A-88,4.69245021,-74.10057011
24,cajero-bancolombia,Cajero Bancolombia Centro 93,Carrera 15 # 93-60,4.6774245439147,-74.0514741841561
25,cajero-bancolombia,Cajero Bancolombia Primera de Mayo,Carrera 69B # 26-35 Sur,4.61410207,-74.13566549
26,cajero-bancolombia,Cajero Bancolombia Surtimax Barrancas,Carrera 7D # 156-15,4.73235612,-74.02620116
27,cajero-bancolombia,Cajero Bancolombia Surtimax Avenida Rojas,Carrera 66A # 70-93,4.68213581,-74.09281668
28,cajero-bancolombia,Cajero Bancolombia Sucursal Titán,Carrera 72 # 80-94,4.695585196023805,-74.08618569374084
29,cajero-bancolombia,Cajero Bancolombia Unisur,Calle 3 # 29A-02,4.602668,-74.099434
