Shape,objectid,numero_estación,nombre_estación,ubicación,troncal_estación,numero_vagones,numero_accesos,biciestación,capacidad,tipo estación,biciparqueadero,latitud,longitud,last_edi_1
Point,1,2205,Calle 106,Calle 106,Autonorte,4,1,0,0,4,0,4.692982,-74.056178,27/09/2021
Point,2,2000,Portal del Norte,Calle 173,Autonorte,0,0,0,0,1,0,4.754621,-74.046035,27/09/2021
Point,3,7108,AV. El Dorado,Kr 30 Av 28,NQS,1,1,0,0,4,0,4.630663,-74.079866,27/09/2021
Point,4,2204,Pepe Sierra,Calle 116,Autonorte,2,1,0,0,4,0,4.698125,-74.055298,27/09/2021
Point,5,2103,Mazurén,Calle 152,Autonorte,5,1,0,0,4,0,4.734585,-74.049218,27/09/2021
Point,6,4106,Carrera 47,Carrera 46,Calle 80,1,1,0,0,4,0,4.678006,-74.073641,27/09/2021
Point,7,7113,Santa Isabel,Kr 30 Av 3,NQS,2,1,0,0,4,0,4.601667,-74.102611,27/09/2021
Point,8,2202,Calle 127,Calle 127,Autonorte,2,1,0,0,4,0,4.704641,-74.054229,27/09/2021
Point,9,7006,General Santander,AutoSur-Kr43,NQS,4,1,1,48,2,1,4.593569,-74.129545,27/09/2021
Point,10,4003,AV. Cali,Carrera 86,Calle 80,1,1,0,0,2,0,4.702486,-74.100288,27/09/2021
Point,11,2303,Calle 85,Calle 85,Autonorte,4,1,0,0,4,0,4.672315,-74.05964,27/09/2021
Point,12,2105,Calle 142,Calle 142,Autonorte,4,1,0,0,4,0,4.726851,-74.05051,27/09/2021
Point,13,7004,Venecia,AutoSur-Av 54,NQS,2,1,0,0,4,0,4.595567,-74.14265,27/09/2021
Point,14,7107,U. Nacional,Kr 30 Cl 45,NQS,3,2,0,0,4,0,4.637119,-74.079321,27/09/2021
Point,15,7109,CAD,Kr 30 Cl 26,NQS,2,2,0,0,4,0,4.62341,-74.084167,27/09/2021
Point,16,2302,Virrey,Calle 90,Autonorte,3,1,0,0,4,0,4.675994,-74.059012,27/09/2021
Point,17,4105,Carrera 53,Carrera 53,Calle 80,1,1,0,0,4,0,4.681821,-74.077401,27/09/2021
Point,18,4002,Carrera 90,Carrera 90,Calle 80,1,1,0,0,4,0,4.704682,-74.104562,27/09/2021
Point,19,7102,NQS - Calle 75,Kr 30 - Cl 75A,NQS,4,1,0,0,4,0,4.670156,-74.07131,27/09/2021
Point,20,7104,Simón Bolívar,Kr 30 CL 63,NQS,2,1,0,0,4,0,4.657291,-74.077663,27/09/2021
Point,21,4000,Portal de la 80,Carrera 96,Calle 80,0,0,1,353,1,1,4.709829,-74.110506,27/09/2021
Point,22,9118,Marly,Calle 51 - Calle 49,Caracas,3,2,0,0,4,0,4.637557,-74.066769,27/09/2021
Point,23,9120,Calle 63,Calle 63 - Calle 60,Caracas,3,2,0,0,4,0,4.648404,-74.064862,27/09/2021
Point,24,7009,SENA,AutoSur-Cl 17 S,NQS,2,1,0,0,4,0,4.597371,-74.110643,27/09/2021
Point,25,7000,Portal del Sur,AutoSur-Kr 82,NQS,0,0,1,220,1,1,4.597013,-74.169398,27/09/2021
Point,26,7111,Ricaurte - NQS,Kr 30 Cl 10,NQS,3,2,1,165,3,1,4.611686,-74.093869,27/09/2021
Point,27,2200,Alcalá,Calle 137,Autonorte,3,2,0,0,4,0,4.721157,-74.051454,27/09/2021
Point,28,9122,Calle 72,Calle 72 - Calle 70A,Caracas,3,2,0,0,4,0,4.658239,-74.062069,27/09/2021
Point,29,2104,Calle 146,Calle 146,Autonorte,3,1,0,0,4,0,4.730893,-74.049822,27/09/2021
Point,30,4104,AV. 68,Carrera 60,Calle 80,1,1,0,0,4,0,4.685726,-74.080469,27/09/2021
Point,31,2201,Prado,Calle 128 B,Autonorte,3,1,0,0,4,0,4.71456,-74.052567,27/09/2021
Point,32,5100,Banderas,Av. Americas -Carrera 78,Americas,0,2,1,101,2,1,4.631301,-74.145769,27/09/2021
Point,33,4101,Minuto de Dios,Carrera 73 A,Calle 80,1,1,0,0,4,0,4.696655,-74.091482,27/09/2021
Point,34,3001,La Campiña,Av Suba Kr 98A,Suba,2,1,0,0,4,0,4.742543,-74.091056,27/09/2021
Point,35,2001,Calle 187,Calle 184,Autonorte,4,1,0,0,4,0,4.76333,-74.044404,27/09/2021
Point,36,2502,Terminal,Calle 190,Autonorte,4,1,0,0,4,0,4.768818,-74.043569,27/09/2021
Point,37,9117,Calle 45,Calle 45 - Calle 42A,Caracas,3,2,0,0,4,0,4.631452,-74.067869,27/09/2021
Point,38,7110,Paloquemao,Kr 30 Cl 19,NQS,2,1,0,0,4,0,4.616916,-74.089545,27/09/2021
Point,39,6102,Salitre - El Greco,Carrera 66,Calle 26,4,1,0,0,4,0,4.650869,-74.101645,27/09/2021
Point,40,9103,Olaya,Calle 24 Sur - Calle 27 Su,Caracas,2,1,0,0,4,0,4.578909,-74.107361,27/09/2021
Point,41,8000,Portal del Tunal,Av. Boyaca,Tunal,0,0,0,0,1,0,4.569571,-74.13924,27/09/2021
Point,42,2304,Héroes,Calle 80,Autonorte,6,1,0,0,4,0,4.668136,-74.060312,27/09/2021
Point,43,14005,Las Aguas,carrera 4,Eje Ambiental,1,2,0,0,3,0,4.60258,-74.068401,27/09/2021
Point,44,14004,Museo del Oro,carrera 2,Eje Ambiental,1,2,0,0,4,0,4.601161,-74.072898,27/09/2021
Point,45,4108,Polo,Transversal 27,Calle 80,1,1,0,0,4,0,4.670693,-74.064749,27/09/2021
Point,46,9123,Calle 76,Calle 76 - Calle 74,Caracas,3,2,0,0,4,0,4.66303,-74.06126,27/09/2021
Point,47,9115,Calle 34,Avenida Calle 34 - Calle 3,Caracas,3,2,0,0,4,0,4.621586,-74.069754,27/09/2021
Point,48,7005,Alquería,AutoSur-Kr48,NQS,2,1,0,0,4,0,4.594258,-74.134271,27/09/2021
Point,49,9106,Nariño,Calle 8 Sur - Calle 11 Sur,Caracas,2,1,0,0,4,0,4.586286,-74.093926,27/09/2021
Point,50,3010,Puentelargo,Av Suba Tv 48,Suba,2,1,0,0,4,0,4.693291,-74.067141,27/09/2021
Point,51,2300,Calle 100,Calle 97,Autonorte,3,2,0,0,4,0,4.683947,-74.057696,27/09/2021
Point,52,5002,Biblioteca Tintal,av.Cali - Calle 26 sur,Americas,4,2,0,0,4,0,4.637899,-74.159345,27/09/2021
Point,53,3002,Suba - TV. 91,Av Suba Kr 90,Suba,2,1,0,0,4,0,4.738833,-74.086874,27/09/2021
Point,54,9100,Calle 40 S,Calle 38 Sur - Calle 40 Su,Caracas,3,2,0,0,2,0,4.575854,-74.120094,27/09/2021
Point,55,7002,Centro Comercial Paseo Villa del Río - Madelena,AutoSur-Kr67,NQS,2,1,0,0,4,0,4.596255,-74.156875,19/01/2022
Point,56,9121,Flores,Calle 69  - Calle 67,Caracas,2,2,0,0,4,0,4.654906,-74.063021,27/09/2021
Point,57,9119,Calle 57,Calle 57 - Calle 54,Caracas,3,2,0,0,4,0,4.642982,-74.065822,27/09/2021
Point,58,6001,Modelia,Carrera 84,Calle 26,4,1,0,0,4,0,4.675044,-74.117117,27/09/2021
Point,59,9114,Calle 26,Avenida Calle 28 - Calle 2,Caracas,3,2,0,0,4,0,4.616645,-74.072152,27/09/2021
Point,60,7001,Perdomo,AutoSur-Kr78C,NQS,2,1,0,0,4,0,4.595776,-74.164971,27/09/2021
Point,61,7103,AV. Chile,Kr 30 Cl 72,NQS,6,2,0,0,4,0,4.666341,-74.074562,27/09/2021
Point,62,6104,Gobernación,Carrera 54,Calle 26,4,1,0,0,4,0,4.642845,-74.096514,27/09/2021
Point,63,9104,Restrepo,Calle 19 Sur - Av. 1 de M,Caracas,2,2,0,0,4,0,4.581834,-74.10142,27/09/2021
Point,64,6101,El Tiempo - Maloka,carrera 68d,Calle 26,4,1,0,0,4,0,4.657081,-74.105625,27/09/2021
Point,65,9107,Hortúa,Calle 1 Sur - Calle 3 Sur,Caracas,2,2,0,0,4,0,4.59084,-74.090238,27/09/2021
Point,66,12002,CDS - Carrera 32,Av. Americas -Carrera 32,Americas,2,2,0,0,4,0,4.616133,-74.093953,27/09/2021
