index,bank_key,bank_name,bank_address,bank_latitude,bank_longitude
0,bancamia,Bancamía Primera de Mayo,Transversal 78H # 44A-05 Sur,4.61479571,-74.16387921
1,bancamia,Bancamía Molinos,Calle 50A # 7 - 21 Sur,4.55672432,-74.12108602
2,bancamia,Bancamia Calle 13,Calle 13 # 13-77,4.71634,-74.212659
3,bancamia,Bancamia Calle 17,Calle 17 # 100-16,4.67304221,-74.14602999
4,bancamia,Bancamía - Engativá,Carrera 113B # 63I-39,4.70902078,-74.13967215
5,bancamia,Bancamía Yomasa,Carrera 1 # 73D-83 Sur,4.51631028,-74.11745605
6,bancamia,Bancamía La Victoria,Calle 39 # 5-08 Sur,4.56100079,-74.10199153
7,bancamia,Bancamía Patio Bonito,Carrera 86  # 36-16 Sur,4.63630688,-74.16320794
8,bancamia,Bancamia-La libertad,Carrera 88C # 56F-36 Sur,4.62747027,-74.18767138
9,bancamia,Bancamía Tejar,Calle 27 Sur # 52A-09,4.60613885,-74.12677994
10,bancamia,Bancamía Santa Helenita,Calle 72 # 77A-56,4.69131296,-74.10007786
11,bancamia,Bancamía Caracas,Avenida Caracas # 74 - 51,4.66220219,-74.06158541
12,bancamia,Bancamía Perdomo,Calle 63 # 70B-58 Sur,4.58940152,-74.16190688
13,bancamia,Bancamía Venecia,Transversal 44 # 50B - 14 Sur,4.58970362,-74.13835494
14,bancamia,Bancamía Principal,Carrera 9 # 66-25,4.65122296,-74.06012071
15,bancamia,Bancamia Carrera 88C,Carrera 88C # 56F-36 Sur,4.627428244,-74.18767757
16,bancamia,Bancamía Suba Rincón,Carrera 93 # 129C-61,4.72620962,-74.09058436
17,bancamia,Bancamía Bosa Piamonte,Transversal 78L # 69C-02 Sur,4.60273858,-74.19099048
18,bancamia,Bancamía Suba Villamaría,Calle 139 # 112B-27,4.7433852,-74.10356728
19,bancamia,Bancamía Centro Suba,Calle 145 # 91-19,4.737745734305473,-74.08512890338898
20,bancamia,Bancamía San Fernando,Calle 68 # 60-08,4.67157212,-74.08176165
21,bancamia,Bancamía Galán,Carrera 56 # 4A-39,4.62117411,-74.11837949
22,bancamia,Bancamía Kennedy,Calle 36 Sur # 78A-28,4.6224882,-74.14989364
23,bancamia,Bancamía Centro,Calle 12B # 8-43,4.60059388,-74.07535296
24,bancamia,Bancamía San Francisco,Carrera 19D # 61B-40 Sur,4.56194372,-74.14248169
25,bancamia,Defensor Del Consumidor Financiero Del Banco BancamÍa,Avenida 19 # 114-09,4.6969854429,-74.0503876147
26,bancamia,Bancamía Restrepo,Avenida 1 de Mayo # 16-54 Sur,4.57061679,-74.08278413
27,bancamia,bancamia,Calle 16 # 6-66,4.602388,-74.07253
28,bancamia,Bancamía Barrancas,Avenida 7 # 155 - 41,4.73043098,-74.02410265
29,bancamia,Bancamía Toberín,Calle 166 # 19B - 70,4.74646777,-74.04312322
30,bancamia,Bancamía,Carrera 4 # 15-34 Sur,4.5749233,-74.08659524
31,bancamia,Bancamía Quirigua,Calle 80 # 82A–10,4.70121279,-74.0983947
32,banco-av-villas,Banco AV Villas Pasadena,Carrera 53 # 102A-01,4.69015666,-74.0626492
33,banco-av-villas,Banco AV Villas Calle 5,Calle 5 # 3-13,4.707217,-74.229314
34,banco-av-villas,Banco AV Villas Diver Plaza,Transversal 96 # 70A-85,4.69780169,-74.11629209
35,banco-av-villas,Banco AV Villas OCI Suba Rincón,Calle 132 # 91-12,4.73078791,-74.08716468
36,banco-av-villas,Banco AV Villas Tintal Plaza,Carrera 86 # 6-37,4.64109126,-74.155941
37,banco-av-villas,Banco AV Villas Zona Franca,Carrera 106 # 15A-25 Interior 141 Local 102,4.67171051,-74.15536607
38,banco-av-villas,Banco AV Villas Calle 68,Calle 68 # 65-05,4.67456747,-74.08378892
39,banco-av-villas,Banco AV Villas Centro de Negocios Empresariales Toberín,Carrera 20 # 166-44,4.74698167,-74.04351686
40,banco-av-villas,Banco AV Villas Chapinero,Calle 57 # 8B-05,4.64355509,-74.06329493
41,banco-av-villas,Banco AV Villas Ilarco,Calle 145 # 115-58,4.69854901,-74.06938513
42,banco-av-villas,Banco AV Villas OCI Villa del Prado,Calle 174A # 53A-05,4.75619956,-74.05209601
43,banco-av-villas,Banco AV Villas Universidad EAN,Carrera 11 # 78-47 Universidad EAN Sede El Nogal,4.66297592,-74.0548716
44,banco-av-villas,Banco AV Villas Toberín,Calle 166 # 21-52,4.74683877,-74.04472322
45,banco-av-villas,Banco AV Villas Parque Nacional,Carrera 13 # 38-26,4.626548906674851,-74.06718492507935
46,banco-av-villas,Banco AV Villas Avenida de las Américas,Avendia Américas # 62-06,4.62874779,-74.11684469
47,banco-av-villas,Banco AV Villas Calle 100,Calle 100 # 11A-36,4.68284285,-74.04435878
48,banco-av-villas,Banco AV Villas Centro de Negocios Empresariales Calle 80,Calle 80 # 69-70,4.68734763,-74.08148028
49,banco-av-villas,Banco AV Villas Centro Mayor,Calle 38A Sur # 34D-50,4.5921939943468875,-74.12419259548187
50,banco-av-villas,Banco AV Villas Ferias,Calle 72 # 68H-03,4.68060467,-74.08836852
51,banco-av-villas,Banco AV Villas Margaritas,Avenida 19 # 151-10,4.73294772,-74.04455175
52,banco-av-villas,Banco AV Villas San Andresito,Calle 9 # 39-06,4.61648353,-74.10350047
53,banco-av-villas,Banco AV Villas Santa Helenita,Calle 72 # 75-27,4.68991236,-74.09832177
54,banco-av-villas,Banco AV Villas Siete de Agosto,Carrera 24 # 65-01,4.65660605,-74.07112555
55,banco-av-villas,Banco AV Villas Centro Internacional,Carrera 10 # 27-43,4.61483628,-74.06942243
56,banco-av-villas,Banco AV Villas Titán Plaza,Carrera 72 # 80-93,4.695034515224205,-74.08670604228973
57,banco-av-villas,Banco AV Villas Chapinorte,Carrera 13 # 61-52,4.6483533862603945,-74.06356930732727
58,banco-av-villas,Banco AV Villas Normandía,Calle 52 Bis # 71C-04,4.66997391,-74.1069346
59,banco-av-villas,Banco AV Villas 140,Carrera 19 # 140-20,4.72345352,-74.04621128
60,banco-av-villas,Banco AV Villas Santa Bárbara,Avenida 15 # 118-20,4.69759737,-74.0430404
61,banco-av-villas,Banco AV Villas Quirigua,Transversal 94 # 82A-17,4.70866111486083,-74.1043866641984
62,banco-av-villas,Banco AV Villas San Cristóbal Norte,Calle 163A # 8G-08,4.740168428,-74.03004984
63,banco-av-villas,Banco AV Villas Centro Comercial Viva Fontibón,Avenida Centenario # 106-104,4.67682004,-74.14907471
64,banco-av-villas,Banco AV Villas Centro de Pagos Cordoba,Carrera 10 # 18-08,4.6062204,-74.076547
65,banco-av-villas,Banco AV Villas Restrepo,Carrera 20 # 15-41,4.587477750874158,-74.10075545310974
66,banco-av-villas,Banco AV Villas Avenida Colón,Calle 13 # 45-37,4.624174861928635,-74.10357713699341
67,banco-av-villas,Banco AV Villas Carrera 10,Carrera 10 # 14-60,4.602599564050944,-74.07609522342682
