index,direccion,localidad,latitud,longitud,farmacia
1,Carrera 51 #49a-30 sur,Tunjuelito,4.6026291,-74.1268613,Audifarma
2,Calle 140 #7-52,Usaquén,4.7167584,-74.0302363,Belmira Plaza Drogueria
3,Carrera 15 #105-16,Usaquén,4.7079004,-74.0425154,Botica Junín
4,Carrera 15 #83-08,Chapinero,4.6769435,-74.0518509,Botica Junín
5,Avenida 7 #116-90,Usaquén,4.6890753,-74.0346063,Botica Junín
6,Diagonal 44 sur #49-15,Tunjuelito,4.5758035,-74.1270945,Deprisa
7,Carrera 72d #57a-83 sur,Bosa,4.6011843,-74.1666331,Drogas - Drogas
8,Carrera 72d #56d-04 sur,Bosa,4.6020759,-74.1663573,Drogas Capital
9,Calle 80 #85-08,Engativá,4.683211999999999,-74.0802781,Drogas Comunitaria
10,Carrera 9 #15-95,Santa Fé,4.6062819,-74.0731118,Drogas Hiperrebaja
11,Calle 19 #4-37,Santa Fé,4.6027353,-74.0676262,Drogas La Economía
12,Calle 53 #24-37,Teusaquillo,4.6501497999999994,-74.0730794,Drogas La Economía
13,Carrera 6 #25-43 sur,San Cristóbal,4.5660215,-74.0983443,Drogas La Economía
14,Carrera 51 #45-20 sur,Tunjuelito,4.5940397,-74.1378103,Drogas La Economía
15,Carrera 5a #27-10 sur,San Cristóbal,4.5717192,-74.0914676,Drogas La Economía
16,Carrera 5a #27-18 sur,San Cristóbal,4.5717192,-74.0914676,Drogas La Economía
17,Carrera 6 #26-08 sur,San Cristóbal,4.5660215,-74.0983443,Drogas La Rebaja
18,Carrera 13 #26-81,Santa Fé,4.5987105,-74.0827874,Drogas La Rebaja
19,Calle 13 #39-10,Puente Aranda,4.6213227,-74.0994161,Drogas La Rebaja
20,Carrera 6 #26-23 sur,San Cristóbal,4.5660215,-74.0983443,Drogas La Rebaja
21,Carrera 4 #18-72,Santa Fé,4.6101289,-74.0661859,Drogas La Rebaja
22,Carrera 21 #15-04 sur,Antonio Nariño,4.5883323,-74.1008392,Drogas La Rebaja
23,Carrera 7 #124-15,Usaquén,4.6890193,-74.0344219,Drogas La Rebaja
24,Diagonal 50 sur #51-02,Tunjuelito,4.5906307,-74.1386806,Drogas La Rebaja
25,Carrera 24 #51-90,Teusaquillo,4.6224794,-74.0767276,Drogas La Rebaja
26,Carrera 75 #23g-35,Fontibón,4.6509111,-74.1306664,Drogas La Rebaja
27,Calle 80 #73a-28,Engativá,4.6832119,-74.0802781,Drogas Lisahi
28,Carrera 24 #47-70,Teusaquillo,4.6224794,-74.0767276,Drogas Palermo
29,Calle 80 #76d-22,Engativá,4.6832119,-74.0802781,Drogas Pepe
